Y,X1,X2,X3,X4,X5,X6,X7
Y,46130115399,51389283832,11,2,0.9,0.1,36
Y,33562547024,37691891400,37,1,0.89,0.11,43
Y,3.0816E+11,3.41078E+11,100,1,0.9,0.1,68
Y,49750834190,52288496000,23,2,0.95,0.05,39
T,297486000,342004000,31,1,0.87,0.13,46.43
Y,1350000000,1239000000,19,1,1.09,-0.09,36
T,11466223000,11422833389,17,1,1,0,68
Y,86436648000,86202424983,26,2,1,0,39
Y,72793000000,72793000000,14,2,1,0,50
Y,5708100000,5708085619,40,1,1,0,46
Y,19513000000,19513000000,8,1,1,0,36
Y,19343829000,19343731316,13,1,1,0,50
Y,67301206016,73794000091,13,1,0.91,0.09,46
Y,1.35466E+11,35746881900,23,1,3.79,-2.79,61
Y,55026180000,55021000000,13,1,1,0,54
T,6889179650,7064932958,13,1,0.98,0.02,60.71
T,4060859000,4252294484,21,1,0.95,0.05,50
Y,4790286700,4798000458,18,1,1,0,46.43
Y,1790840000,1790976169,15,1,1,0,42.86
Y,1884200000,1842778042,36,1,1.02,-0.02,46.43
Y,2.19404E+11,2.19285E+11,21,2,1,0,68
Y,8325000000,8324445000,12,1,1,0,57
Y,95756960000,95757000000,9,1,1,0,43
Y,2.05293E+11,2.05293E+11,27,2,1,0,71
Y,1.06547E+11,1.06547E+11,17,2,1,0,64
Y,1.35466E+11,1.35747E+11,23,2,1,0,50
Y,92062382700,92035430617,14,2,1,0,50
Y,1650000000,1650000000,17,1,1,0,56
Y,76176642731,81910109000,20,1,0.93,0.69,39
