Y,X1,X2,X3,X4,X5,X6,X7
T,"4,795,000,000","4,900,262,180",15,1,0.98,0.02,39
T,"5,221,828,000","5,433,399,942",15,1,0.96,0.04,50
T,"2,897,914,000","2,949,754,940",13,1,0.98,0.02,54
T,"2,285,983,000","2,388,471,632",33,1,0.96,0.04,36
T,"920,891,000","930,882,475",27,1,0.99,0.01,36
T,"2,196,919,412","2,313,707,173",29,1,0.95,0.05,36
T,"2,156,789,834","2,378,661,747",29,1,0.91,0.09,39
T,"2,302,585,248","2,478,109,615",22,1,0.93,0.07,32
T,"2,298,500,325","2,472,153,699",22,1,0.93,0.07,39
T,"2,324,214,284","2,499,475,772",22,1,0.93,0.07,32
T,"1,000,708,000","1,049,963,380",14,1,0.95,0.05,46
T,"692,049,000","750,000,000",24,1,0.92,0.08,29
T,"4,799,973,000","4,899,798,940",21,2,0.98,0.02,50
T,"11,761,174,000","11,921,626,869",21,2,0.99,0.01,57
T,"659,172,180","795,206,577",15,1,0.83,0.17,54
T,"2,256,477,335","2,849,697,801",28,1,0.79,0.21,61
Y,"11,546,018,400","14,994,799,783",46,2,0.77,0.23,68
Y,"3,528,049,000","4,829,808,279",46,2,0.73,0.27,57
Y,"2,658,502,200","2,899,908,050",23,1,0.92,0.08,39
Y,"1,486,757,250","1,537,244,863",10,1,0.97,0.03,42.86
Y,"11,839,495,000","12,810,456,156",24,1,0.92,0.08,35.71
Y,"10,627,605,000","11,730,249,707",30,1,0.91,0.09,50
Y,"2,859,542,000","2,895,114,957",28,1,0.99,0.01,46.43
Y,"5,297,557,800","5,434,439,023",16,1,0.97,0.03,57.14
T,"4,175,367,000","4,232,392,000",17,1,0.99,0.01,53.57
T,"898,339,000","949,998,000",21,1,0.95,0.05,32.14
Y,"1,897,000,000","1,939,928,710",12,1,0.98,0.02,39.29
Y,"72,035,762,000","84,067,281,538",48,1,0.86,0.14,57.14
Y,"13,221,547,000","15,657,914,691",53,2,0.84,0.16,54
Y,"740,461,900","867,759,200",22,1,0.85,0.15,46.43
T,"614,900,000","623,938,406",15,1,0.99,0.01,46.43
T,"270,889,000","274,578,844",16,1,0.99,0.01,42.86
Y,"18,040,000,000","19,024,419,654",24,1,0.95,0.05,50
Y,"9,350,927,792","9,749,999,823",31,1,0.96,0.04,35.71
Y,"312,522,000","317,234,204",35,1,0.99,0.01,46.43
Y,"234,435,999","237,583,322",35,1,0.99,0.01,42.86
Y,"1,250,982,000","1,270,261,697",35,1,0.98,0.02,53.57
Y,"2,887,600,000","2,977,071,685",9,1,0.97,0.03,46.43
Y,"1,861,500,000","1,890,221,040",13,1,0.98,0.02,42.86
T,"1,374,768,000","1,220,034,295",13,1,1.13,-0.13,42.86
T,"2,660,000,000","2,695,592,079",22,1,0.99,0.01,46.43
Y,"738,500,000","749,771,017",26,1,0.98,0.02,50
Y,"806,000,000","848,702,583",21,1,0.95,0.05,32.14
Y,"6,976,000,000","7,074,925,336",15,1,0.99,0.01,46.43
Y,"12,337,441,000","12,759,749,246",21,1,0.97,0.03,39.29
Y,"4,277,000,000","4,331,115,609",13,1,0.99,0.01,39.29
Y,"4,810,000,000","4,327,646,281",16,1,1.11,-0.11,35.71
Y,"665,000,000","589,099,575",23,1,1.13,-0.13,57.14
Y,"665,000,000","589,099,575",23,1,1.13,-0.13,50
T,"3,385,400,000","3,605,650,000",36,1,0.94,0.06,39.29
T,"8,581,554,000","8,618,000,000",16,1,1.00,0.00,64.29
T,"2,571,887,000","2,580,118,280",25,2,1.00,0.00,57.14
T,"3,911,174,000","3,933,828,160",25,2,0.99,0.01,57.14
Y,"8,666,869,000","8,774,610,000",11,1,0.99,0.01,39.29
Y,"48,933,251,589","61,166,564,000",49,1,0.80,0.20,64
Y,"56,187,131,678","66,183,153,000",27,1,0.85,0.15,50
Y,"48,489,343,210","60,611,678,000",27,1,0.80,0.20,46
T,"44,364,880,049","45,275,514,354",28,1,0.98,0.02,57.14
T,"275,973,000,000","308,490,000,000",55,1,0.89,0.11,60.71
