Y,X1,X2,X3,X4,X5,X6,X7
T,"93,109,540,040","103,696,000,000",55,1,0.90,0.10,46.43
Y,"70,600,000,000","82,037,723,424",43,2,0.86,0.14,46
Y,"40,539,657,000","43,660,000,000",24,1,0.93,0.07,36
Y,"4,780,148,148","4,772,921,000",20,1,1.00,0.00,42.86
Y,"2,465,010,000","2,522,286,622",14,1,0.98,0.02,21.43
Y,"84,971,193,700","95,559,680,000",46,2,0.89,0.11,46
Y,"11,894,640,000","12,068,000,000",17,1,0.99,0.01,43
T,"20,085,694,000","22,434,544,589",29,2,0.90,0.10,39
T,"11,579,095,000","12,449,426,067",25,1,0.93,0.07,43
Y,"57,971,000,000","63,434,000,000",17,2,0.91,0.09,39
T,"4,191,015,000","4,289,792,000",17,1,0.98,0.02,39.29
T,"2,755,340,000","2,800,530,000",23,2,0.98,0.02,57
T,"1,835,000,000","1,866,277,658",21,1,0.98,0.02,53.57
T,"1,870,000,000","1,830,000,000",21,1,1.02,-0.02,39
T,"700,345,500","762,961,000",21,1,0.92,0.08,42.86
T,"1,395,350,000","1,488,370,709",24,1,0.94,0.06,35.71
T,"34,100,000,000","38,970,384,489",43,1,0.88,0.12,54
Y,"48,252,997,800","48,404,019,000",16,1,1.00,0.00,46
T,"1,517,952,291","1,852,935,248",24,1,0.82,0.18,46.43
T,"50,010,000,000","53,804,492,733",27,1,0.93,0.07,57.14
T,"19,050,000,000","19,851,492,081",20,1,0.96,0.04,50
Y,"21,840,000,008","23,743,000,000",56,1,0.92,0.08,50
Y,"31,797,643,518","34,191,000,000",20,1,0.93,0.07,32
Y,"71,341,710,000","70,685,000,000",10,1,1.01,-0.01,46
Y,"376,000,000,000","398,831,000,000",76,3,0.94,0.06,39.29
Y,"13,022,521,000","17,559,926,000",19,1,0.74,0.26,46
Y,"9,086,520,000","9,880,578,000",16,1,0.92,0.08,39
Y,"2,685,343,000","2,918,658,000",55,1,0.92,0.08,57
Y,"49,013,028,000","61,266,285,000",18,1,0.80,0.20,57
Y,"2,077,630,672","2,347,410,893",19,1,0.89,0.11,46
Y,"382,453,582","478,066,978",31,1,0.80,0.20,46.43
Y,"64,064,958,000","65,711,641,459",24,1,0.97,0.03,54
Y,"55,044,889,000","58,633,244,000",17,1,0.94,0.06,50
T,"884,990,000","931,254,182",12,1,0.95,0.05,28.57
Y,"7,942,376,000","7,938,754,000",20,1,1.00,0.00,39.29
Y,"31,961,356,263","34,359,195,000",19,1,0.93,0.07,43
T,"9,955,000,000","10,295,500,000",15,1,0.97,0.03,32.14
T,"378,000,000","395,500,000",10,1,0.96,0.04,33
T,"385,127,000","395,500,000",10,1,0.97,0.03,21.43
T,"993,500,000","1,042,800,000",15,1,0.95,0.05,28.57
T,"1,042,000,000","1,086,800,000",15,1,0.96,0.04,42.86
T,"777,000,000","800,800,000",15,1,0.97,0.03,46
T,"816,000,000","838,800,000",36,1,0.97,0.03,43
Y,"46,130,115,399","51,389,283,832",11,2,0.90,0.10,36
Y,"33,562,547,024","37,691,891,400",37,1,0.89,0.11,43
Y,"308,160,000,000","341,078,000,000",100,1,0.90,0.10,68
Y,"49,750,834,190","52,288,496,000",23,2,0.95,0.05,39
T,"297,486,000","342,004,000",31,1,0.87,0.13,46.43
Y,"1,350,000,000","1,239,000,000",19,1,1.09,-0.09,36
T,"11,466,223,000","11,422,833,389",17,1,1.00,0.00,68
Y,"86,436,648,000","86,202,424,983",26,2,1.00,0.00,39
Y,"72,793,000,000","72,793,000,000",14,2,1.00,0.00,50
Y,"5,708,100,000","5,708,085,619",40,1,1.00,0.00,46
Y,"19,513,000,000","19,513,000,000",8,1,1.00,0.00,36
Y,"19,343,829,000","19,343,731,316",13,1,1.00,0.00,50
Y,"67,301,206,016","73,794,000,091",13,1,0.91,0.09,46
Y,"135,466,000,000","35,746,881,900",23,1,3.79,-2.79,61
Y,"55,026,180,000","55,021,000,000",13,1,1.00,0.00,54
T,"6,889,179,650","7,064,932,958",13,1,0.98,0.02,60.71
T,"4,060,859,000","4,252,294,484",21,1,0.95,0.05,50
Y,"4,790,286,700","4,798,000,458",18,1,1.00,0.00,46.43
Y,"1,790,840,000","1,790,976,169",15,1,1.00,0.00,42.86
Y,"1,884,200,000","1,842,778,042",36,1,1.02,-0.02,46.43
Y,"219,404,000,000","219,285,000,000",21,2,1.00,0.00,68
Y,"8,325,000,000","8,324,445,000",12,1,1.00,0.00,57
Y,"95,756,960,000","95,757,000,000",9,1,1.00,0.00,43
Y,"205,293,000,000","205,293,000,000",27,2,1.00,0.00,71
Y,"106,547,000,000","106,547,000,000",17,2,1.00,0.00,64
Y,"135,466,000,000","135,747,000,000",23,2,1.00,0.00,50
Y,"92,062,382,700","92,035,430,617",14,2,1.00,0.00,50
Y,"1,650,000,000","1,650,000,000",17,1,1.00,0.00,56
